Sno,Meaning,Sentence,Abinaya,Aishwarya,Aishwarya,Aishwarya,Kandy,Kandy,Kandy,Rahini,Rahini,Sharly,Sharly,Swathi,Swathi
11,Mari reads articles and her sons read thick books,லதா கட்டுரைகள் படிக்கிறார் மற்றும் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள்,லதா கட்டுரைகளையும் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள்,லதா கட்டுரைகள் படிக்கிறார் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள்,லதா கட்டுரைகளையும் மற்றும் அவளுடைய மகன்கள் தடித்த புத்தகங்களையும்  படிக்கிறார்கள்,,லதா கட்டுரைகள்  மற்றும் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள்,,,லதா கட்டுரைகள் மற்றும் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள் ,,,,,
12,Mari reads books and Jüri writes books,லதா புத்தகங்கள் படிக்கிறார் மற்றும் பவித்ரா புத்தகங்கள் எழுதுகிறார்,லதா புத்தகங்கள் படிக்கிறார் பவித்ரா புத்தகங்கள் எழுதுகிறார்,லதா புத்தகங்கள் படிக்கிறார் பவித்ரா புத்தகங்கள் எழுதுகிறார்,லதா புத்தகங்கள் படிக்கிறார் மற்றும் பவித்ரா எழுதுகிறார்,,லதா புத்தகங்கள் படிக்கிறார் மற்றும் பவித்ரா  எழுதுகிறார்,,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா எழுதுகிறார் ,,,,,
13,Mari reads books and Jüri writes books,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா புத்தகங்கள் எழுதுகிறார்,புத்தகங்களை லதா படிக்கிறார் பவித்ரா எழுதுகிறார்,புத்தகங்களை லதா படிக்கிறார் பவித்ரா புத்தகங்கள் எழுதுகிறார்,,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா  எழுதுகிறார்,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா  எழுதுகிறார்,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா எழுதுகிறார் ,,,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா  எழுதுகிறார்,
14,Mari reads books and Jüri writes books,புத்தகங்களை லதா படிக்கிறார் மற்றும் புத்தகங்களை பவித்ரா எழுதுகிறார்,புத்தகங்களை லதா படிக்கிறார் பவித்ரா எழுதுகிறார்,புத்தகங்களை லதா படிக்கிறார் பவித்ரா எழுதுகிறார்,,,புத்தகங்களை லதா படிக்கிறார் மற்றும்  பவித்ரா எழுதுகிறார்,,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா எழுதுகிறார் ,,புத்தகங்களை லதா படிக்கிறார் மற்றும்  பவித்ரா எழுதுகிறார்,,புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா  எழுதுகிறார்,
15,Hans eats apples and Peter eats pears,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,செந்தில் மாங்காய்களையும் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,செந்தில் மாங்காய்களையும் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்கள் ,,செந்தில் மாங்காய்கள்  மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,,,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்களை சாப்பிடுகிறார்கள் ,,,,,
16,Hans eats apples and Peter eats apples,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்,செந்தில் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்,செந்தில் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்கள் ,,,செந்தில்   மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்கள்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் அவர்களும்  ,,செந்தில் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்கள் ,,செந்தில் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகின்றனர் ,,செந்திலும்    ராஜேஷும் மாங்காய்கள் சாப்பிடுகிறார்கள்,
17,Hans eats apples and Peter eats in the car,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார்,செந்தில் மாங்காய்களையும் மற்றும் ராஜேஷ் காரின் உள்ளேயும் சாப்பிடுகிறார்கள் ,,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார்,,,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார்,,,,,
18,Mari buys pears and Jüri buys at the market,லதா நெல்லிக்காய்கள் வாங்கினார் மற்றும் பவித்ரா சந்தையில் வாங்கினார்,லதா நெல்லிக்காய்கள் வாங்கினார் மற்றும் பவித்ரா சந்தையில் வாங்கினார்,லதா நெல்லிக்காய்கள் வாங்கினார் பவித்ரா சந்தையில் வாங்கினார்,லதா நெல்லிக்காய்களையும் மற்றும் பவித்ரா சந்தையில்  இருந்தும்  வாங்கினார்கள் ,,லதா நெல்லிக்காய்கள் வாங்கினார் மற்றும் பவித்ரா சந்தையில் வாங்கினார்,,,லதா நெல்லிக்காய்கள் வாங்கினார் மற்றும் பவித்ரா சந்தையில் வாங்கினார்,,,,,
19,Hans rarely sleeps and Peter sleeps in the car,செந்தில் அரிதாக தூங்குகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்,செந்தில் அரிதாகவும் மற்றும் ராஜேஷ் காரின் உள்ளேயும் தூங்குகிறார்கள் ,செந்தில் அரிதாக தூங்குகிறார் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்,செந்தில் அரிதாகவும் மற்றும் ராஜேஷ் காரின் உள்ளேயும் தூங்குகிறார்கள் ,,செந்தில் அரிதாக தூங்குகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்,,,செந்தில் அரிதாக தூங்குகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்,,,,,
20,Jüri lives in Tartu and his sons live in Tallinn,பவித்ரா சென்னையில் வாழ்கிறார் மற்றும் அவரது மகன்கள் கோவையில் வாழ்கிறார்கள்,பவித்ரா சென்னையிலும் அவரது மகன்கள் கோவையிலும் வாழ்கிறார்கள்,பவித்ரா சென்னையில் வாழ்கிறார் அவரது மகன்கள் கோவையில் வாழ்கிறார்கள்,பவித்ரா சென்னையிலும் மற்றும் அவரது மகன்கள் கோவையிலும் வாழ்கிறார்கள்,,பவித்ரா சென்னையில்  மற்றும் அவரது மகன்கள் கோவையில் வாழ்கிறார்கள்,,,பவித்ரா சென்னையில் மற்றும் அவரது மகன்கள் கோவையில் வாழ்கிறார்கள்,,,,பவித்ரா சென்னையிலும்  மற்றும் அவரது மகன்கள் கோவையிலும் வாழ்கிறார்கள்,
21,My sister lives in Narva and my brothers live in Narva,எனது சகோதிரி சேலத்தில் வாழ்கிறார் மற்றும் எனது சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள்,எனது சகோதிரி மற்றும் சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள்,எனது சகோதிரி சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள்,,,எனது சகோதிரி   மற்றும்  சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள்,,,எனது சகோதரி மற்றும் சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள் ,எனது சகோதர சகோதரிகள் சேலத்தில் வாழ்கிறார்கள் ,எனது சகோதரி மற்றும் எனது சகோதரர்கள் சேலத்தில் வாழ்கிறார்கள்,,எனது சகோதிரியும்   மற்றும் எனது சகோதரர்களும் சேலத்தில் வாழ்கிறார்கள்,
22,I hope Hans sleeps and you hope Peter sleeps,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய்,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய்,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய்,செந்தில் தூங்குகிறார் என்று நானும் ராஜேஷ் தூங்குகிறார் என்று நீயும்  நம்புகிறோம் ,,செந்தில் தூங்குகிறார் என்று நானும்  மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும் நம்புகிறோம்,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ ,,செந்தில் தூங்குகிறார் என்று நானும் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும்  நம்புகிறோம் ,,,,,
23,I hope that Hans sleeps and you hope that Peter sleeps,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய்,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கள் என்று நாம் நம்புகிறோம்,செந்தில் தூங்குகிறார் என்று நானும் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும் நம்புகிறோம் ,,,செந்தில் தூங்குகிறார் என்று நானும்  மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும் நம்புகிறோம்,செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ ,,செந்தில் தூங்குகிறார் என்று நானும் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும்  நம்புகிறோம் ,,,,செந்தில் தூங்குகிறார் என்று நானும்   ராஜேஷ் தூங்குகிறார் என்று நீயும் நம்புகிறோம்,
24,Today Hans should clean his car and today Susi should clean her bike,இன்று கட்டாயம் செந்தில் அவனுடைய காரை சுத்தம்செய்யனும் மற்றும் இன்று கட்டாயம் பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும்,இன்று கட்டாயம் செந்தில் அவனுடைய காரை மற்றும் பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும்,இன்று கட்டாயம் செந்தில் அவனுடைய காரை சுத்தம்செய்யனும் இன்று கட்டாயம் பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும்,இன்று கட்டாயம் செந்தில் அவனுடைய காரையும் பூங்கோதை அவளுடைய வண்டியையும் சுத்தம்செய்யனும்,,இன்று கட்டாயம் செந்தில் அவனுடைய காரை  மற்றும்   பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும்,,,இன்று கட்டாயம் செந்தில் அவனுடைய கார் மற்றும் பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும் ,,இன்று கட்டாயம் செந்தில் அவனுடைய காரை சுத்தம்செய்யனும் மற்றும் பூங்கோதை அவளுடைய வண்டியை சுத்தம்செய்யனும்,,,
25,Today Hans should clean cars and especially Hans should clean cars today until midnight.,இன்று கட்டாயம் செந்தில் கார்களை சுத்தம்செய்யனும் மற்றும் இன்று கட்டாயம் செந்தில் நள்ளிரவு வரை கார்கள் சுத்தம்செய்யனும்,இன்று கட்டாயம் செந்தில் கார்களை நள்ளிரவு வரை சுத்தம் செய்ய வேண்டும்,இன்று கட்டாயம் செந்தில் நள்ளிரவு வரை கார்கள் சுத்தம்செய்யனும்,,,இன்று கட்டாயம் செந்தில் கார்களை      நள்ளிரவு வரை  சுத்தம்செய்யனும்,இன்று கட்டாயம் செந்தில் கார்களை      நள்ளிரவு வரை  சுத்தம்செய்யனும்,,இன்று கட்டாயம் செந்தில் கார்களை நள்ளிரவு வரை சுத்தம்செய்யனும் ,,இன்று கட்டாயம் செந்தில் கார்களை  நள்ளிரவு வரை  சுத்தம்செய்யனும்,,இன்று கட்டாயம் செந்தில் கார்களை      நள்ளிரவு வரை  சுத்தம்செய்யனும்,
26,I like apples and I eat apples often,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் அடிக்கடி ஆப்பிள்கள் சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் அதனால் நான் அடிக்கடி சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் நான் அடிக்கடி ஆப்பிள்கள் சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் அடிக்கடி அதை சாப்பிடுகிறேன்,,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் அடிக்கடி  சாப்பிடுகிறேன்,,,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் அடிக்கடி சாப்பிடுகிறேன் ,,எனக்கு ஆப்பிள்கள் பிடிக்கும் அதனால் நான் அடிக்கடி ஆப்பிள்கள் சாப்பிடுகிறேன்,,எனக்கு ஆப்பிள்கள் பிடிக்கும் அதை நான் அடிக்கடி  சாப்பிடுகிறேன்,
27,I like apples and I eat apples,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் ஆப்பிள்கள் சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் அதனால் நான் சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் நான் ஆப்பிள்கள் சாப்பிடுகிறேன்,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் அதை சாப்பிடுகிறேன்,,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் ஆப்பிள்கள் சாப்பிடுகிறேன்,,,எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் அவற்றை சாப்பிடுகிறேன் ,,,,எனக்கு ஆப்பிள்கள் பிடிக்கும் அதை நான்  சாப்பிடுகிறேன்,
28,Hans steals bicycles and Hans sells bicycles,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்கிறார்,செந்தில் மிதிவண்டிகளை திருடுகிறார் மற்றும் விற்கிறார்,செந்தில் மிதிவண்டிகள் திருடுகிறார் செந்தில் மிதிவண்டிகள் விற்கிறார்,செந்தில் மிதிவண்டிகள் திருடி விற்கிறார்,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும்   விற்கிறார்,,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் விற்கிறார் ,செந்தில் மிதிவண்டிகள் திருடி விற்கிறார் ,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும்  விற்கிறார்,,செந்தில் மிதிவண்டிகளை திருடுகிறார் மற்றும்   விற்கிறார்,
29,Susi heard that Hans steals bicycles and that Hans sells bicycles,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,செந்தில் மிதிவண்டிகளை திருடுகிறார் மற்றும் விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,செந்தில் மிதிவண்டிகள் திருடி விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும்   விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் விற்கிறார் என்று கவிதா கேள்விப்பட்டார் ,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும்  விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,,செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும்   விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,
30,Susi heard that Jan repaired his bike efficiently and that Jan cleaned his bike diligently,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் ராஜேஷ் தனது மிதிவண்டியை தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் அதனை தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,,,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும்    தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,,,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்த்தார் மற்றும் தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார் ,,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,,ராஜேஷ் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும்    தீவிரமாக சுத்தம்செய்தார் என்று கவிதா கேள்விப்பட்டார்,
